comparison,feature,gain,auc,psi,ks,time_monotone,mean_ref,mean_cmp,position_artifact,severity,psi_band,psi_significant,drop_candidate
ENGINEERED FEATURES: train vs test,merch_age_days,0.5888892370037571,0.9969744176400079,6.67581686454627,0.9832938726870406,1.0,98.7080924944448,226.22969202452288,True,severe,significant,True,False
ENGINEERED FEATURES: train vs test,g_comp_size,0.36576780372212153,0.9808482692656881,10.047986030716578,0.9584833609862027,0.9759273443483969,38546.76231463223,57356.06362507996,True,severe,significant,True,False
ENGINEERED FEATURES: train vs test,dev_age_days,0.016322101465974438,0.9945955215898892,7.606486209076131,0.9429485529823244,1.0,94.80197151254669,221.39022986785983,True,severe,significant,True,False
ENGINEERED FEATURES: train vs test,g_comp_n_cust,0.010021836051389206,0.9811464091041514,10.038139327740021,0.9584833609862027,0.9800853485064012,25626.567716956903,38487.14108236118,True,severe,significant,True,False
ENGINEERED FEATURES: train vs test,day_of_month,0.008879202024801858,0.5270110129764938,0.012913393673974177,0.04724044764086244,0.0784549731918153,15.024092072869161,15.873469434376046,False,,stable,True,False
ENGINEERED FEATURES: train vs test,days_since_graph_snapshot,0.0036966617176227906,0.5126544397272352,0.14578606440036324,0.020785353397998474,0.048911259437575225,3.55808449070949,3.596157526120395,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,g_comp_n_dev,0.001951854485220561,0.980840571150742,10.168624772645316,0.9584833609862027,0.9669548090600721,12920.194597675329,18868.92254271877,True,severe,significant,True,False
ENGINEERED FEATURES: train vs test,dow_sin,0.001547169075566094,0.5132246569034167,0.0031198808192674445,0.024581785898221575,0.09267972425867164,0.0005646700501035765,-0.0323155140769474,False,,stable,True,False
ENGINEERED FEATURES: train vs test,account_age_days,0.0012598056135065749,0.5534031139946145,0.22139828775737094,0.12630150696100698,0.8474669000984789,458.8718518680442,512.945124272791,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,gnn_cust_emb_drift,0.0003592982332721983,0.8493519882948496,3.042318445511061,0.646133712426748,0.5464675201517306,0.02859506850277155,0.02051336022328148,False,,significant,True,True
ENGINEERED FEATURES: train vs test,loc_prior_n,0.00028913973181240164,0.6990326691576295,1.5718346852104026,0.28496314458895555,1.0,42008.84228258523,99798.81026697329,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,dow_cos,0.0002699911586815579,0.5006898396942899,0.00028988750399390646,0.006537300471152863,0.05197505197505197,0.00041575030477195024,-0.0020226586379964323,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_stream_age_days,0.00022424671127811314,0.880815818897786,2.663066765832096,0.7487124927610438,0.9914651493598862,87.39725823842352,189.86733416561182,True,moderate,significant,True,False
ENGINEERED FEATURES: train vs test,account_age_log,0.00013903643620510992,0.5534031139946145,0.22139828775737094,0.12630150696100698,0.5157019367545683,5.772303397208365,5.787416910505916,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,merch_age_frac,0.00013176141457136708,0.5741918189066477,0.32893899005579413,0.1753612897541036,0.9822737717474559,0.9801295099577549,0.9935014563310277,False,,significant,True,False
ENGINEERED FEATURES: train vs test,cust_txn_per_active_day,5.1678698644463356e-05,0.5265110234538944,0.028760150149546113,0.048402109428429374,0.4739030528504213,0.3876058626683573,0.6868847591794442,False,,stable,True,False
ENGINEERED FEATURES: train vs test,merch_n_24h,3.694522611300418e-05,0.5330877497062834,0.08804591216332701,0.15102186895202563,0.963234489550279,230.94518008257484,266.18612744052876,False,,stable,True,False
ENGINEERED FEATURES: train vs test,g_dev_2hop,2.9128911043378246e-05,0.8545161109630935,2.2826832074940056,0.5493721639738994,1.0,11.27108415356924,34.953782248484664,True,moderate,significant,True,False
ENGINEERED FEATURES: train vs test,merch_prior_ncust,2.7918407768540677e-05,0.6006390367371109,0.22920495265545482,0.19322557557159137,0.9984681037312616,7358.184231810717,11614.564314215224,True,mild,moderate,True,False
ENGINEERED FEATURES: train vs test,g_cust_emb_drift,2.285742206483314e-05,0.5269939672543908,0.7328662359929022,0.13030891276840684,0.023233760075865334,1.003467287767327,0.9747814915637905,False,,significant,True,False
ENGINEERED FEATURES: train vs test,g_dev_emb_norm,2.2254589745470135e-05,0.7158192200348452,2.9043864434219504,0.49311832937085354,0.6010504431557063,0.010387178150965785,0.005900503654809805,False,,significant,True,False
ENGINEERED FEATURES: train vs test,dev_prior_nloc,1.9355864746229484e-05,0.7799013402132944,1.36725777942674,0.43524166293851974,1.0,5.984963289440967,10.071552039231214,True,moderate,significant,True,False
ENGINEERED FEATURES: train vs test,merch_prior_n,1.390735557623503e-05,0.6381162450319993,0.2944102012704446,0.21837861970805317,0.9997811576758946,22668.589520754376,53341.2806912674,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,merch_dt,8.601893748503446e-06,0.510498087685002,0.016798380219984806,0.023705772460091645,0.7664952401794506,67930.79729967407,79811.78850519548,False,,stable,True,False
ENGINEERED FEATURES: train vs test,merch_prior_ndev,6.54177613747918e-06,0.6072572732824556,0.25014980804774944,0.19621790723275645,0.9982492614071562,5590.154961731941,7835.187494288934,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,loc_n_24h,3.931379319195764e-06,0.5634539154263292,1.202942582633135,0.23853093743135256,0.9656417551154393,428.0186763432075,501.7254309950961,False,,significant,True,False
ENGINEERED FEATURES: train vs test,cust_time_concentration,1.8259379761013147e-06,0.5438714540132081,0.33040232049415674,0.15246523932844946,0.9807418754787175,0.49669794800387357,0.4391080581733155,False,,significant,True,False
ENGINEERED FEATURES: train vs test,dev_age_frac,1.5627877899703577e-06,0.6779331692040621,0.5052549751564278,0.2517319032298986,0.9816172447751396,0.9014640451936513,0.9722427184335266,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,g_cust_emb_norm,1.479498271323614e-06,0.6904897502499532,1.5262307281872611,0.41017281770851455,0.5767589451799979,0.00803301466108883,0.004942094675955956,False,,significant,True,False
ENGINEERED FEATURES: train vs test,merch_log_dt,1.472362408134462e-06,0.5104980876928047,0.016798380219984806,0.023705772460091645,0.4795929532771638,6.723995942079071,6.614472816160324,False,,stable,True,False
ENGINEERED FEATURES: train vs test,merch_n_1h,1.3930428663451398e-06,0.5205419657863956,0.013010216216691465,0.046809685106554144,0.9662982820877558,12.650160805091113,14.639136791447108,False,,stable,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_last20,0.0,0.5258078105489785,0.12034749999310895,0.016734617747329428,0.9168399168399168,1.1875943641264488,1.0688308676292704,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_mean_by_categ,0.0,0.5671541115091032,0.17467311698676283,0.02423775529737049,0.9557938505306927,1.2960005405412602,1.1287889774435644,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_z_by_categ,0.0,0.6067600718963002,0.24238262877995012,0.023213658168853235,0.6189955137323558,2.8003321184826584,0.6044124096884503,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_last5,0.0,0.5263556852226408,0.1186282452585412,0.014217838439348318,0.9065543276069592,1.2679593444956414,1.1522481115648815,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_z,0.0,0.5496428920573105,0.218966899009462,0.031900939487370494,0.8398074187547873,1.5692155993409265,0.16871974570937845,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,log_amt_ratio_mean,0.0,0.5159957164670896,0.12197900817108773,0.023651440838139748,0.6249042564832038,-0.2268741681383615,-0.245792165076259,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_last1,0.0,0.5241239226568684,0.1155311910304882,0.004039374279679382,0.8384943648101544,1.641997868930021,1.5081034822387387,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,dayofweek,0.0,0.5079589514072087,0.0031177273305548862,0.018812370621100638,0.136885873727979,2.998764929461624,3.054494989491639,False,,stable,True,False
ENGINEERED FEATURES: train vs test,hour_cos,0.0,0.5015078898220895,5.999821593268e-05,0.003317978559354118,0.5507167086114454,-0.2670175895051067,-0.27077884492501664,False,,stable,False,False
ENGINEERED FEATURES: train vs test,minute_of_day,0.0,0.5007917779368262,0.00010862259712200415,0.0027776181786980797,0.31589889484626327,847.2877386459583,848.4242864975176,False,,stable,True,False
ENGINEERED FEATURES: train vs test,hour,0.0,0.5008608114591384,0.00012128452386899065,0.0025079320815198924,0.3432541853594485,13.629470641116372,13.649679418841949,False,,stable,True,False
ENGINEERED FEATURES: train vs test,is_weekend,0.0,0.5061375350749739,0.0,0.012275070149947775,0.014115329904803589,0.2857207265056521,0.2979957966555999,False,,stable,False,False
ENGINEERED FEATURES: train vs test,is_deep_night,0.0,0.5006478584325511,0.0,0.0012957168651023254,0.7176934019039283,0.02824813987993584,0.02695242301483354,False,,stable,False,False
ENGINEERED FEATURES: train vs test,is_night,0.0,0.5007883169491931,0.0,0.0015766338983862482,0.6400043768464821,0.03884324167761927,0.03726660777923304,False,,stable,False,False
ENGINEERED FEATURES: train vs test,hour_sin,0.0,0.5011050854924318,3.194912052154692e-05,0.002820742149835742,0.20494583652478388,-0.22410484089749086,-0.22718117184005024,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_ang_dev,0.0,0.5122458590941054,0.1261293696322108,0.032258333900042624,0.9743954480796586,1.1538153419378963,1.1091102380607463,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,hour_volume_share,0.0,0.5071767884421385,0.1261638279342053,0.04428277322200194,0.617244775139512,0.05521358438359149,0.05520724879599932,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_ang_dev_weighted,0.0,0.5086430176407812,0.17264382059975691,0.0723820261814907,0.9838056680161943,0.580488983637229,0.4887510918336987,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,days_since_signup,0.0,0.5534031139946145,0.22139828775737094,0.12630150696100698,0.8474669000984789,458.8718518680442,512.945124272791,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amount_bdt,0.0,0.5011460203629219,0.00019908887029894488,0.0029966832347169126,0.8936426304847357,1027.6664133513516,938.7857148502758,False,,stable,True,False
ENGINEERED FEATURES: train vs test,log_amount,0.0,0.5011460203629219,0.00019908887029894488,0.0029966832347169126,0.648101542838385,6.2208473402034326,6.210706380535329,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_prev_mean,0.0,0.5284690590883041,0.1169832993940568,0.01378200109323835,0.8562205930626983,1060.6551814769525,1006.4199618334784,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_amt_prev_std,0.0,0.5768659199175,0.2098394171274508,0.05910274810559246,0.41065762118393695,1242.277268781787,1253.350785695553,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_amt_prev_max,0.0,0.5970021881000811,0.18669657842986312,0.11767874169294967,0.9365357260094103,6674.127367320734,9212.971902082823,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_mean,0.0,0.5159888793037091,0.12195879961517736,0.023669105335713758,0.9286574023416128,1.1601467000075525,1.019181442322481,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_median,0.0,0.5255170218949387,0.11813521837984997,0.012490619750411394,0.9142138089506511,1.4235215810484558,1.290314026400597,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_max,0.0,0.5620297814336954,0.22465240021290667,0.13362009063478586,0.9921216763322027,0.5736455918384507,0.36028842042564924,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_min,0.0,0.5994025023256676,0.20477816664809695,0.11652516284803727,0.9577634314476419,4.173847032671931,4.741958223932501,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_n_24h,0.0,0.5272256890740044,0.01104232964681726,0.04640107208994759,0.9142138089506511,0.3749859961581655,0.7039916542292346,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_mean_6h,0.0,0.5163149802884109,0.011105080354543873,0.019757421194746827,0.19006455848561113,999.3056005439225,966.3874158618966,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_sum_6h,0.0,0.5166681128203292,0.0,0.032494877712086256,0.7522704891125943,131.0745459351703,231.5518208683356,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_n_6h,0.0,0.5169065232596324,0.0,0.032464269976744675,0.816610132399606,0.12457954318784822,0.23656376595291037,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_amt_mean_1h,0.0,0.5062281605033041,0.005687391102909282,0.027020546160251513,0.22989386147280885,1038.1029212414287,1026.3975410627281,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_sum_1h,0.0,0.5062333343794407,0.0,0.012452636655954974,0.5360542728963782,35.918240225208805,53.69724289628257,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_n_1h,0.0,0.5062378484971859,0.0,0.012442691435679443,0.24980851296640771,0.03481560014318075,0.05312814108616856,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_dt_vs_typical,0.0,0.5260221888880817,0.20486207644725743,0.035062534988798855,0.2167633220264799,22.285091767669723,18.11440996993039,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_dt3,0.0,0.5662381430567269,0.27789740078169956,0.04302120411020105,0.8682569208884998,1666808.438045734,2045730.4566521796,False,,significant,True,False
ENGINEERED FEATURES: train vs test,cust_dt2,0.0,0.5394115679042923,0.21455398942331663,0.03657039924627953,0.818798555640661,1218989.8525536864,1441927.348214458,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_log_dt,0.0,0.5098218050206771,0.12694540040914365,0.034811248500328434,0.07779844621949886,12.296818580716659,12.185516335054938,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_dt,0.0,0.5098218049348483,0.12694540040914365,0.034811248500328434,0.7260094102199365,675445.1876414526,760441.2304610522,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_prior_n,0.0,0.7017252152697906,0.5748789626890214,0.2928468664336039,0.9997811576758946,33.60874495520137,74.08405927324785,True,moderate,significant,True,False
ENGINEERED FEATURES: train vs test,amt_round_1000,0.0,0.5000010749202307,0.0,2.1498404613184974e-06,0.08790629537297602,5.4649138866194315e-06,7.614754348024733e-06,False,,stable,False,False
ENGINEERED FEATURES: train vs test,amt_round_100,0.0,0.5000049478238129,0.0,9.895647625768333e-06,0.058105816139934804,9.290353607253033e-05,0.00010279918369833389,False,,stable,False,False
ENGINEERED FEATURES: train vs test,amt_is_int,0.0,0.5000071189446216,0.0,1.4237889243373658e-05,0.08305066199803042,0.010174303428413727,0.010188541317657092,False,,stable,False,False
ENGINEERED FEATURES: train vs test,amt_rank_30d,0.0,0.5019227757737708,0.04297278597219157,0.002011526087741522,0.2474012474012474,0.5000736777314571,0.49947993607413727,False,,stable,True,False
ENGINEERED FEATURES: train vs test,amt_rank_7d,0.0,0.5021218552804944,0.04295495973488412,0.0009395667233953464,0.2156691104059525,0.5000887715823831,0.49969359537289454,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_payme_prior_n,0.0,0.6794298263578643,0.41849494178198093,0.26373210700838273,0.9993434730276834,8.924300012842547,19.67409612865889,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,amt_z_by_payme,0.0,0.6043170630881939,0.2723361735534198,0.0256626245078293,0.6909946383630593,1.3945884366063073,0.7742203786784198,False,,significant,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_mean_by_payme,0.0,0.5599878836019044,0.19785183033252376,0.02569103652718363,0.9529489003173213,1.287459541927563,1.1195725391517306,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_type_prior_n,0.0,0.6689986461605086,0.36849166577103964,0.24467727142799778,0.9993434730276834,11.97122722838695,26.398034631902775,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,amt_z_by_type,0.0,0.5954493561740023,0.23397612566960654,0.02296171405867964,0.6691104059525113,1.3792457040210293,0.6378546386741063,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,amt_ratio_mean_by_type,0.0,0.5558526783071015,0.17206484959552903,0.0236853894118233,0.9376299376299376,1.2665471151542165,1.1041698592212286,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_categ_prior_n,0.0,0.6708135872253119,0.36790385887589216,0.25577999382050914,0.9993434730276834,7.263363763795492,16.08351101093479,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,cust_burst_24h_168h,0.0,0.5271476285022002,0.009465757929257029,0.045838481653235674,0.2290184921763869,0.15163374672852162,0.15637026746365595,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_burst_1h_24h,0.0,0.5240414730771393,0.0,0.027513092227792413,0.26819126819126815,0.06909230037212152,0.06619904792037343,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_amt_mean_24h,0.0,0.5235867163399596,0.0114745243928631,0.015280003835563882,0.8161724477513951,1011.6245429450519,944.145841136595,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_mean_72h,0.0,0.5233767692079546,0.009108725758854373,0.010300896175333807,0.8958310537257905,1022.8618364278836,935.3346586870108,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_n_168h,0.0,0.5401019922853594,0.025478776782564275,0.058364308810000654,0.9284385600175075,2.4719335685067945,3.85834653224087,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_txn_per_day,0.0,0.6670365805141492,0.3984500880463441,0.2282626550576714,0.999562315351789,0.1341715455991389,0.6011041040577634,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,cust_amt_sum_24h,0.0,0.5260065191035115,0.013996762422852518,0.04651738826316254,0.6804902068059963,376.5198752638942,643.0496627078128,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_mean_168h,0.0,0.5198030394050858,0.009951933965920834,0.009969891551920573,0.7916621074515812,940.9746662785315,901.8118403768647,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_burst_1h_24h,0.0,0.5254712870472925,0.0,0.0217351044966696,0.11543932596564176,0.06386573216901012,0.06311635760910357,False,,stable,False,False
ENGINEERED FEATURES: train vs test,dev_n_168h,0.0,0.5494229171897157,0.033439748585546075,0.06794340444909974,0.9750519750519749,3.153917933388165,4.497742225335811,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_sum_168h,0.0,0.5415370902474336,0.022304481910380543,0.05749512664481471,0.7840026261078893,2947.4236907644117,4045.145476375996,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_mean_24h,0.0,0.5249795156348889,0.010906718963241323,0.012586190716326995,0.5931721194879089,945.2256607235848,913.3006542166985,False,,stable,True,False
ENGINEERED FEATURES: train vs test,loc_dt,0.0,0.5235123033762683,0.0071589787999646595,0.03399583323924793,0.9719881825144984,1063.5731128466339,925.9986255368402,False,,stable,True,False
ENGINEERED FEATURES: train vs test,loc_log_dt,0.0,0.5235123033762683,0.0071589787999646595,0.03399583323924793,0.9713316555421818,5.302625884720932,5.1442479151177265,False,,stable,True,False
ENGINEERED FEATURES: train vs test,loc_n_1h,0.0,0.5348214992208887,0.06719451572712853,0.07897636680428632,0.9586388007440639,23.547954619355085,27.690357436569098,False,,stable,True,False
ENGINEERED FEATURES: train vs test,custdev_prior_n,0.0,0.6727392511365139,0.3976283648295845,0.268627026837359,0.9993434730276834,27.416538468895077,60.66652325545978,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,custdev_dt,0.0,0.5170378878817313,0.042830647705948646,0.03383080804954042,0.7686836634205055,761463.1909292887,879023.8843206498,False,,stable,True,False
ENGINEERED FEATURES: train vs test,custdev_n_24h,0.0,0.524571023956836,0.01074886130385045,0.043243173073699404,0.9212167633220264,0.3014555798137011,0.5803965764064452,False,,stable,True,False
ENGINEERED FEATURES: train vs test,custdev_share_24h,0.0,0.5227628411553131,0.0112620497105461,0.02087986834720451,0.4671189408031513,0.8102071473679411,0.8178169170171954,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_new_dev,0.0,0.502985645293832,0.0,0.005971290587664102,0.720319509793194,0.0813192848613688,0.07534799427370473,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_dev_prior_n,0.0,0.6727392511365139,0.3976283648295845,0.268627026837359,0.9993434730276834,27.416538468895077,60.66652325545978,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,cust_n_72h,0.0,0.5349104162212139,0.022501748029719333,0.054210388601867665,0.92056023634971,1.0822619825068107,1.8578439584539004,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_sum_72h,0.0,0.5313219506256722,0.01633061700380562,0.04735207524013807,0.6025823394244446,1061.815933065597,1679.416499072938,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_dt3,0.0,0.5092749500142878,0.2655990958097097,0.04584303223864397,0.17605864974286028,1014495.2526730428,984164.6935116557,False,,significant,True,False
ENGINEERED FEATURES: train vs test,dev_dt2,0.0,0.5050362829866577,0.16792596716180264,0.04705676940008946,0.00032826348615822297,689659.9029152406,653390.1859644572,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,dev_dt_vs_typical,0.0,0.516247986404947,0.18027914656360133,0.056855825475643496,0.8816063026589342,5.905963237374928,1.6062302998430966,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,dev_n_1h,0.0,0.5061942971531076,0.0,0.01232554334705116,0.6133056133056133,0.03755625445732039,0.05781121501020377,False,,stable,False,False
ENGINEERED FEATURES: train vs test,dev_n_6h,0.0,0.5173100361010562,0.009315237537841132,0.032969283695207796,0.8085129664077032,0.15775020425115652,0.26599859888519994,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_sum_6h,0.0,0.5170236705810028,0.00856450740925822,0.03300150822717873,0.6257796257796258,206.49211131627143,327.792390461165,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_sum_1h,0.0,0.5061853263397036,0.0,0.012327200883763711,0.5739139949666265,53.02798283980685,81.74952452314793,False,,stable,False,False
ENGINEERED FEATURES: train vs test,dev_amt_mean_1h,0.0,0.5061720206581586,0.004776353100185309,0.026233310490334727,0.23558376189955135,1126.1454774401573,1106.9159737092293,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_n_24h,0.0,0.5296514349740622,0.010609440778602664,0.04873501786153156,0.9367545683335156,0.4782059234201617,0.7862081569248576,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_mean_6h,0.0,0.5165925923838737,0.009547429338932592,0.015735229098904957,0.16073968705547653,977.5743343615115,942.6421741499732,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_amt_sum_24h,0.0,0.5280871795718098,0.01431017551522925,0.04888111741801504,0.6964656964656964,500.0144747662359,777.8850909972335,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_prior_n,0.0,0.7695178656677135,1.3182927938147204,0.4082939484931413,1.0,43.47092392566624,98.38550836100028,True,moderate,significant,True,False
ENGINEERED FEATURES: train vs test,dev_dt,0.0,0.5149529184942073,0.0755339062321567,0.04134664054072218,0.2226720647773279,351382.67391173216,324886.40742280625,False,,stable,True,False
ENGINEERED FEATURES: train vs test,dev_log_dt,0.0,0.5149529184890056,0.0755339062321567,0.04134664054072218,0.49294233504759816,11.847779905268462,11.675381409708358,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_sum_168h,0.0,0.533750144943874,0.016310913076800226,0.047846218420341424,0.6216216216216216,2408.744410653331,3475.7851499245076,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_amt_mean_168h,0.0,0.5187659525187716,0.007459962300440787,0.0058880515310520964,0.887952730057993,1024.89260210247,934.0648576413378,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_mcat_share,0.0,0.547258897850287,0.25359846000049296,0.11125297589170435,0.3108655213918372,0.2147812118536703,0.2156694677044086,False,,significant,True,False
ENGINEERED FEATURES: train vs test,cust_mcat_dt,0.0,0.5931275308762909,0.2113194269215449,0.06952814042447131,0.9503227924280555,1849794.2190951135,2604365.2033357243,False,,moderate,True,False
ENGINEERED FEATURES: train vs test,cust_mcat_prior_n,0.0,0.6708135872253119,0.36790385887589216,0.25577999382050914,0.9993434730276834,7.263363763795492,16.08351101093479,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,cust_new_mcat,0.0,0.5505846019638032,0.0,0.10116920392760631,0.9897144107670423,0.18854089531684204,0.08737169138923578,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_dtype_share,0.0,0.5206195862409786,0.29684271259982187,0.17440718877719685,0.488784330889594,0.8690861412761912,0.8718147103728278,False,,significant,True,False
ENGINEERED FEATURES: train vs test,cust_dtype_dt,0.0,0.5219397219015591,0.08229149671113953,0.03223011432832687,0.8831381989276726,783423.8351113043,969092.7379437783,False,,stable,True,False
ENGINEERED FEATURES: train vs test,cust_dtype_prior_n,0.0,0.6854214768385535,0.43651038578648516,0.2774976237043917,0.9997811576758946,29.333464946676102,64.86416039718559,True,mild,significant,True,False
ENGINEERED FEATURES: train vs test,cust_new_dtype,0.0,0.506197740590046,0.0,0.012395481180091816,0.9520735310208993,0.03899762549491626,0.026602144314824404,False,,stable,False,False
ENGINEERED FEATURES: train vs test,cust_loc_share,0.0,0.5000659825858019,0.24203898528368387,0.1367831916199871,0.5885764306816939,0.7837475040181661,0.7884321264702226,False,,moderate,True,False
